Time [s];Velocity [km/h]]];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
1;0;475;8.6;2.5;0.06;0;371.77;-15.83;-1;-1;65;76;8;88;4.91;4920;4920;0;1;373;13.25;-1.5;-1.02;58;85;55;-0.31;5;10;54.87;63.25;56.44;27;27.12;38.67;35.72;11.19;-1.7;-1.93;1.3;5.24;7.56;9.43;6.07;9.04;7.75;8.17
1.1;0;475;14.09;4.13;0.08;0;371.77;-16.13;-1;-1;65;76;8;88;4.9;4920;4920;0;1;373;13.25;-1.5;-1.03;58;85;55;-0.31;5;10;54.89;63.26;56.45;27.02;27.13;38.7;35.75;11.23;-1.7;-1.91;1.32;5.26;7.56;9.45;6.07;9.04;7.75;8.17
1.2;0;475;18.43;8.39;0.18;0;371.67;-16.53;-1;-1;65;76;8;88;4.9;4920;4920;0;1;373;13.25;-1.5;-1.04;58;85;55;-0.31;5;10;54.91;63.27;56.46;27.05;27.14;38.72;35.78;11.26;-1.7;-1.89;1.34;5.28;7.56;9.47;6.07;9.04;7.76;8.17
1.3;0;475;21.78;18.52;0.4;0;371.55;-16.93;-1;-1;65;76;8;88;4.9;4920;4920;0;1;373;13.25;-1.5;-1.04;58;85;55;-0.31;5;10;54.93;63.27;56.47;27.07;27.15;38.75;35.8;11.3;-1.7;-1.88;1.35;5.29;7.56;9.48;6.07;9.04;7.77;8.17
1.4;0;475;23.95;31.39;0.54;0;371.4;-17.33;-1;-1;65;76;8;88;4.9;4920;4920;0;1;373;13.25;-1.5;-1.05;58;85;55;-0.31;5;10;54.94;63.28;56.47;27.1;27.16;38.78;35.83;11.33;-1.7;-1.86;1.37;5.31;7.56;9.5;6.07;9.04;7.78;8.17
1.5;0;475;28.28;40.28;0.67;0;371.17;-18.34;-1;-1;65;76;8;88;4.9;4920;4920;0;1;373;13.25;-1.5;-1.06;58;85;55;-0.31;5;10;54.96;63.29;56.48;27.13;27.17;38.8;35.86;11.37;-1.7;-1.84;1.39;5.33;7.56;9.52;6.07;9.04;7.79;8.17
1.6;0;475;31.96;57.04;1.07;0;370.77;-20.69;-1;-1;65;76;8;88;4.89;4920;4920;0;1;372.97;13.25;-1.5;-1.07;58;85;55;-0.31;5;10;54.98;63.3;56.49;27.15;27.17;38.83;35.88;11.4;-1.7;-1.82;1.41;5.35;7.56;9.54;6.07;9.04;7.8;8.17
1.7;0.63;475;33.76;88.19;1.59;0;370.28;-22.99;-1;-1;65;76;8;88;4.89;4920;4920;0;1;372.47;13.25;-1.5;-1.08;58;85;55;-0.31;5;10;55;63.31;56.5;27.18;27.18;38.86;35.91;11.44;-1.7;-1.81;1.42;5.36;7.56;9.55;6.07;9.04;7.81;8.17
1.8;1.34;475;34.35;116.26;1.92;0;369.58;-25.19;-1;-1;65;76;8;88;4.89;4920;4920;0;1;371.95;13.25;-1.5;-1.08;58;85;55;-0.31;5;10;55.01;63.32;56.51;27.2;27.19;38.88;35.93;11.47;-1.7;-1.79;1.44;5.37;7.55;9.56;6.07;9.04;7.82;8.16
1.9;2.06;475;34.2;125.61;1.98;0;368.96;-27.3;-1;-1;65;76;8;88;4.89;4920;4920;0;1;370.95;13.25;-1.5;-1.08;58;85;55;-0.31;5;10;55.03;63.33;56.52;27.22;27.21;38.91;35.93;11.5;-1.7;-1.78;1.47;5.36;7.54;9.54;6.08;9.03;7.82;8.15
2;2.78;475;34.2;123.5;1.92;0;368.51;-29.2;-1;-1;65;76;8;88;4.89;4920;4920;0;1;369.97;13.25;-1.5;-1.08;58;85;55;-0.31;5;10;55.05;63.33;56.53;27.24;27.24;38.93;35.94;11.53;-1.7;-1.77;1.5;5.35;7.53;9.52;6.09;9.03;7.82;8.15
2.1;3.54;475;34.48;123.35;1.88;0;368.06;-30.91;-1;-1;65;76;8;88;4.88;4920;4920;0;1;369.47;13.25;-1.5;-1.08;58;85;55;-0.31;5;10;55.07;63.33;56.54;27.25;27.26;38.96;35.95;11.55;-1.7;-1.76;1.54;5.34;7.53;9.5;6.1;9.02;7.82;8.14
2.2;4.25;475;34.88;122.24;1.9;0;367.61;-32.21;-1;-1;65;76;8;88;4.88;4919.47;4920;0;1;368.97;13.25;-1.5;-1.08;58;85;55;-0.31;5;10;55.08;63.33;56.54;27.27;27.29;38.99;35.96;11.58;-1.7;-1.75;1.57;5.34;7.52;9.49;6.1;9.01;7.82;8.13
2.3;4.94;475;36.62;121.87;1.9;0;367.16;-33.77;-1;-1;65;76;8;88;4.88;4909.47;4920;0;1;368.47;13.25;-1.5;-1.08;58;85;55;-0.31;5;10;55.1;63.33;56.55;27.29;27.32;39.01;35.97;11.61;-1.7;-1.74;1.61;5.33;7.51;9.47;6.11;9;7.82;8.12
2.4;5.61;475;38.79;121.13;1.94;0;366.71;-35.92;-1;-1;65;76;8;88;4.88;4900;4920;0;1;367.97;13.25;-1.5;-1.08;58.03;85;55;-0.31;5;10;55.12;63.33;56.56;27.31;27.34;39.04;35.98;11.63;-1.7;-1.73;1.64;5.32;7.5;9.45;6.12;8.99;7.82;8.11
2.5;6.29;475;40.31;123.39;2;0;366.16;-38.39;-1;-1;65;76;8;88;4.88;4900;4920;0;1;367.47;13.25;-1.5;-1.08;58.53;85;55;-0.31;5;10;55.14;63.33;56.57;27.32;27.37;39.07;35.99;11.66;-1.7;-1.72;1.68;5.31;7.49;9.43;6.13;8.98;7.82;8.1
2.6;6.98;475;42.17;128.63;2.06;0;365.41;-41.54;-1;-1;65;76;8;88;4.88;4900;4920;0;1;366.95;13.26;-1.5;-1.08;59;85;55;-0.31;5;10;55.15;63.33;56.58;27.34;27.4;39.09;36;11.68;-1.7;-1.72;1.71;5.3;7.48;9.42;6.14;8.97;7.82;8.09
2.7;7.75;475;44.03;132.52;2.12;0;364.62;-44.77;-1;-1;65;76;8;88;4.88;4900;4920;0;1;365.95;13.38;-1.5;-1.08;59;85;55;-0.31;5;10;55.17;63.33;56.59;27.36;27.42;39.12;36;11.71;-1.7;-1.71;1.75;5.29;7.47;9.4;6.15;8.96;7.82;8.08
2.8;8.52;475;45.11;139.02;2.24;0;363.72;-48.17;-1;-1;65;76;8;88;4.88;4900;4920;0;1;364.97;13.5;-1.5;-1.08;59;85;55;-0.31;5;10;55.19;63.33;56.6;27.38;27.45;39.14;36.02;11.74;-1.7;-1.7;1.78;5.3;7.46;9.39;6.16;8.96;7.82;8.08
2.9;9.34;475;46.16;144.24;2.29;0;362.93;-51.11;-1;-1;65;76;8;88;4.89;4900;4920;0;1;364.47;13.5;-1.5;-1.07;59;85;55;-0.31;5;10;55.21;63.33;56.61;27.42;27.47;39.16;36.05;11.77;-1.7;-1.7;1.81;5.34;7.44;9.39;6.16;8.94;7.81;8.07
3;10.12;475;46.78;143.61;2.25;0;362.38;-53.06;-1;-1;65;76;8;88;4.9;4900;4920;0;1;363.95;13.5;-1.5;-1.06;59;85;55;-0.31;5;10;55.22;63.33;56.61;27.45;27.49;39.18;36.07;11.8;-1.7;-1.7;1.84;5.37;7.43;9.39;6.16;8.92;7.8;8.06
3.1;10.91;475;47.56;140.87;2.21;0;361.83;-55.07;-1;-1;65;76;8;88;4.9;4900;4920;0;1;362.95;13.5;-1.5;-1.06;59;85;55;-0.31;5;10;55.24;63.34;56.62;27.49;27.5;39.2;36.1;11.84;-1.7;-1.7;1.87;5.41;7.41;9.39;6.16;8.91;7.79;8.05
3.2;11.7;475;48.53;140.37;2.21;0;361.28;-57.22;-1;-1;65;76;8;88;4.91;4900.53;4920;0;1;362;13.5;-1.5;-1.05;59;85;55;-0.31;5;10;55.26;63.35;56.63;27.52;27.52;39.22;36.13;11.87;-1.7;-1.7;1.89;5.44;7.39;9.39;6.16;8.89;7.79;8.04
3.3;12.45;475;49.59;138.74;2.2;0;360.74;-59.39;-1;-1;65;76;8;88;4.92;4910.52;4920;0;1;362;13.5;-1.5;-1.04;59;85;55;-0.31;5;10;55.28;63.36;56.64;27.56;27.54;39.23;36.15;11.91;-1.7;-1.7;1.92;5.48;7.37;9.39;6.16;8.87;7.78;8.03
3.4;13.25;475;51.16;138.37;2.14;0;360.24;-61.59;-1;-1;65;76;8;88;4.92;4919.48;4920;0;1;361.95;13.5;-1.5;-1.03;59;85;55;-0.31;5;10;55.29;63.37;56.65;27.59;27.56;39.25;36.18;11.94;-1.7;-1.7;1.94;5.51;7.36;9.39;6.16;8.85;7.77;8.02
3.5;13.99;475;52.72;137.63;2.17;0;359.65;-64.26;-1;-1;65;76;8;88;4.92;4909.48;4920;0;1;360.95;13.5;-1.5;-1.02;59;85;55;-0.31;5;10;55.31;63.38;56.66;27.63;27.57;39.27;36.2;11.98;-1.7;-1.7;1.97;5.55;7.34;9.39;6.16;8.84;7.76;8.01
3.6;14.76;475;54.21;139.63;2.24;0;358.85;-67.96;-1;-1;65;76;8;88;4.92;4900;4920;0;1;359.95;13.51;-1.5;-1.01;59;85;55;-0.31;5;10;55.33;63.39;56.67;27.66;27.59;39.29;36.23;12.01;-1.7;-1.7;2;5.58;7.32;9.39;6.16;8.82;7.75;8.01
3.7;15.56;475;55.2;142.39;2.26;0;358.03;-71.58;-1;-1;65;76;8;88;4.92;4900;4920;0;1;358.95;13.63;-1.5;-1;59;85;55;-0.31;5;10;55.35;63.4;56.68;27.7;27.61;39.3;36.26;12.05;-1.7;-1.7;2.02;5.62;7.3;9.39;6.16;8.8;7.74;8
3.8;16.35;475;56.05;145.63;2.19;0;357.18;-75.03;-1;-1;65;76;8;88;4.92;4900;4920;0;1;357.97;13.75;-1.5;-1;59;85;55;-0.31;5;10;55.36;63.4;56.68;27.73;27.63;39.32;36.28;12.08;-1.7;-1.7;2.05;5.63;7.3;9.39;6.16;8.78;7.73;7.99
3.9;17.15;475;55.75;147.89;2.28;0;356.38;-78.39;-1;-1;65;76;8;88;4.92;4900;4912.24;0;1;357.47;13.75;-1.5;-1;59;85;55;-0.31;5;10;55.38;63.41;56.69;27.74;27.65;39.34;36.31;12.12;-1.7;-1.68;2.08;5.62;7.32;9.39;6.17;8.79;7.74;7.99
4;18;475;55.9;149.13;2.33;0;355.68;-81.54;-1;-1;65;76;8;88;4.92;4898.96;4812.25;0;1;356.97;13.75;-1.5;-1;59;85;55;-0.31;5;10;55.39;63.43;56.7;27.76;27.67;39.36;36.34;12.15;-1.7;-1.67;2.1;5.61;7.34;9.39;6.17;8.81;7.76;7.99
4.1;18.78;475;55.79;149.13;2.29;0;355.04;-84.23;-1;-1;65;76;8;88;4.92;4878.96;4716.9;0;1;356.47;13.75;-1.5;-1;59;85;55;-0.31;5;10;55.4;63.45;56.71;27.78;27.7;39.37;36.36;12.19;-1.7;-1.65;2.13;5.61;7.35;9.39;6.18;8.82;7.78;7.99
4.2;19.59;475;55.75;148.24;2.34;0;354.54;-85.93;-1;-1;65;76;8;88;4.92;4855.86;4676.9;0;1;355.97;13.74;-1.5;-1;59;85;55;-0.31;5;10;55.41;63.46;56.72;27.8;27.73;39.39;36.39;12.22;-1.7;-1.63;2.15;5.6;7.37;9.39;6.19;8.84;7.79;7.99
4.3;20.37;475;55.54;146.5;2.33;0;354.06;-87.79;-1;-1;65;76;8;88;4.92;4775.86;4640;0;1;355.47;13.49;-1.5;-1;59;85;55;-0.31;5;10;55.42;63.48;56.73;27.81;27.75;39.41;36.41;12.26;-1.7;-1.61;2.18;5.59;7.39;9.39;6.2;8.86;7.81;7.99
4.4;21.17;475;55.25;145.5;2.29;0;353.61;-89.99;-1;-1;65;76;8;88;4.92;4697.94;4640;0;1;354.97;13.24;-1.5;-1;59;85;55;-0.31;5;10;55.43;63.5;56.74;27.83;27.78;39.43;36.44;12.29;-1.7;-1.6;2.21;5.58;7.41;9.39;6.21;8.88;7.83;7.99
4.5;21.92;475;55.29;144.76;2.23;0;353.14;-92.14;-1;-1;65;76;8;88;4.92;4657.93;4640;0;1;354.47;13.12;-1.5;-1;59;85;55;-0.31;5;10;55.44;63.52;56.75;27.85;27.81;39.44;36.47;12.33;-1.7;-1.58;2.23;5.57;7.42;9.39;6.22;8.89;7.85;7.99
4.6;22.71;475;55.43;144.13;2.23;0;352.64;-94.19;-1;-1;65;76;8;88;4.92;4620;4640;0;1;353.97;13;-1.5;-1;59;85;55;-0.31;5;10;55.44;63.53;56.75;27.87;27.83;39.46;36.49;12.36;-1.7;-1.56;2.26;5.56;7.44;9.39;6.23;8.91;7.86;7.99
4.7;23.48;475;55.25;142.13;2.22;0;352.14;-96.18;-1;-1;65;76;8;88;4.92;4620;4640;0;1;353.47;13;-1.5;-1;59;85;55;-0.31;5;10;55.45;63.55;56.76;27.88;27.86;39.48;36.52;12.4;-1.7;-1.54;2.28;5.55;7.46;9.39;6.24;8.93;7.88;7.99
4.8;24.23;475;55.25;141.5;2.22;0;351.64;-98.03;-1;-1;65;76;8;88;4.92;4620;4640;0;1;352.97;13.01;-1.5;-1;59;85;55;-0.31;5;10;55.46;63.57;56.77;27.9;27.88;39.5;36.54;12.43;-1.69;-1.53;2.31;5.55;7.48;9.4;6.24;8.95;7.9;7.99
4.9;24.97;475;55.25;141.63;2.09;0;351.21;-99.77;-1;-1;64.98;76;8;88;4.92;4620;4640;0;1;352.47;13.13;-1.5;-1;59;85;55;-0.31;5;10;55.47;63.59;56.78;27.92;27.9;39.52;36.57;12.46;-1.68;-1.52;2.33;5.56;7.52;9.41;6.27;8.96;7.91;7.99
5;25.69;475;55.43;139.87;2.17;0;350.91;-101.27;-1;-1;64.93;76;8;88;4.92;4620;4640;0;1;351.97;13.25;-1.5;-1;59;85;55.03;-0.31;5;10;55.49;63.59;56.79;27.93;27.92;39.55;36.6;12.49;-1.67;-1.52;2.35;5.57;7.55;9.43;6.31;8.97;7.91;7.99
5.1;26.39;475;55.38;137.87;2.14;0;350.57;-102.72;-1;-1;64.9;76;8;88;4.92;4620;4640;0;1;351.48;13.25;-1.5;-1;59;85;55.52;-0.31;5;10;55.5;63.59;56.8;27.95;27.94;39.57;36.62;12.51;-1.67;-1.52;2.37;5.58;7.59;9.45;6.34;8.98;7.91;7.99
5.2;27.11;475;55.43;138.5;2.08;0;350.17;-104.07;-1;-1;64.9;76;8;88;4.92;4620;4640;0;1;350.98;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.52;63.59;56.81;27.97;27.96;39.6;36.65;12.54;-1.66;-1.52;2.38;5.59;7.62;9.47;6.38;8.98;7.91;7.99
5.3;27.9;475;54.94;135.87;2.06;0;349.81;-105.41;-1;-1;64.9;76;8;88;4.92;4620;4640;0;1;350.48;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.54;63.59;56.81;27.99;27.97;39.62;36.68;12.57;-1.65;-1.52;2.4;5.6;7.66;9.48;6.41;8.99;7.91;7.99
5.4;28.42;475;54.83;139.76;2;0;349.51;-106.71;-1;-1;64.9;76;8;88;4.64;4620.41;4640;0;1;350;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.56;63.59;56.82;28;27.99;39.65;36.7;12.59;-1.64;-1.52;2.42;5.6;7.69;9.5;6.45;9;7.91;7.99
5.5;29.12;475;54.61;134.13;2.02;0;349.24;-107.91;-1;-1;64.9;76;8;88;4.64;4630.41;4640;0;1;350;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.57;63.59;56.83;28.02;28.01;39.68;36.73;12.62;-1.63;-1.52;2.44;5.61;7.73;9.52;6.48;9.01;7.91;7.99
5.6;29.87;475;51.91;132.24;2;0;349.04;-108.91;-1;-1;64.9;76;8;88;4.64;4640;4640;0;1;350;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.59;63.59;56.84;28.04;28.03;39.7;36.75;12.64;-1.62;-1.52;2.45;5.62;7.76;9.54;6.51;9.02;7.91;7.99
5.7;30.54;475;50.78;130.63;1.95;0;349.07;-108.37;-1;-1;64.9;76;8;88;4.64;4640;4640;0;1;350;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.61;63.59;56.85;28.06;28.04;39.73;36.78;12.67;-1.61;-1.52;2.47;5.63;7.8;9.55;6.55;9.03;7.91;7.99
5.8;31.23;475;50.63;124.87;1.85;0;349.62;-104.47;-1;-1;64.9;75.93;8;88;4.64;4640;4640;0;1;350.02;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.63;63.59;56.86;28.08;28.06;39.75;36.8;12.7;-1.61;-1.52;2.49;5.65;7.81;9.57;6.58;9.04;7.91;8
5.9;31.9;475;49.81;115.74;1.72;0;350.11;-101.08;-1;-1;64.9;75.84;8;88;4.64;4640;4640;0;1;350.52;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.64;63.59;56.87;28.1;28.08;39.77;36.81;12.73;-1.61;-1.52;2.49;5.7;7.79;9.6;6.6;9.05;7.9;8
6;32.47;475;49.05;113.13;1.64;0;350.46;-98.78;-1;-1;64.9;75.76;8;88;4.64;4640;4640;0;1;351.04;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.65;63.6;56.88;28.13;28.11;39.79;36.82;12.76;-1.61;-1.51;2.48;5.74;7.78;9.63;6.61;9.05;7.89;8.01
6.1;33.05;475;49.05;106.92;1.56;0;350.83;-96.7;-1;-1;64.9;75.68;8;88;4.64;4640;4640;0;1;352.04;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.66;63.61;56.88;28.16;28.14;39.81;36.83;12.8;-1.61;-1.5;2.47;5.79;7.76;9.65;6.62;9.06;7.88;8.02
6.2;33.53;475;49.05;101.34;1.51;0;351.23;-95.1;-1;-1;64.9;75.6;8;88;4.64;4640.41;4640;0;1;353;13.25;-1.5;-1;59;85;56;-0.31;5;10;55.67;63.61;56.89;28.18;28.16;39.83;36.83;12.83;-1.61;-1.49;2.46;5.83;7.74;9.68;6.63;9.07;7.87;8.03
6.3;34.05;475;49.23;98.74;1.47;0;351.55;-93.94;-1;-1;64.9;75.52;8;88;4.64;4650.41;4640;0;1;353;13.25;-1.5;-1;59;85;56;-0.32;5;10;55.68;63.62;56.9;28.21;28.19;39.84;36.84;12.87;-1.61;-1.48;2.45;5.87;7.72;9.71;6.64;9.08;7.86;8.04
6.4;34.49;475;49.23;94.76;1.38;0;351.7;-93.74;-1;-1;64.9;75.5;8;88;4.64;4659.6;4640;0;1;353;13.25;-1.5;-1;59;85;56;-0.33;5;10;55.69;63.63;56.91;28.24;28.22;39.86;36.85;12.9;-1.61;-1.47;2.44;5.92;7.71;9.73;6.65;9.09;7.86;8.05
6.5;35;475;49.23;95;1.31;0;351.85;-93.29;-1;-1;64.9;75.5;8;88;4.64;4649.6;4640;0;1;353;13.25;-1.5;-1;59;85;56;-0.34;5;10;55.7;63.64;56.92;28.26;28.24;39.88;36.86;12.94;-1.61;-1.46;2.44;5.96;7.69;9.76;6.65;9.1;7.85;8.06
6.6;35.46;475;49.05;91.37;1.42;0;352;-92.29;-1;-1;64.9;75.5;8;88;4.64;4640;4640;0;1;353;13.25;-1.5;-1;59;85;56;-0.34;5;10;55.71;63.65;56.93;28.29;28.27;39.9;36.87;12.97;-1.61;-1.45;2.43;6;7.67;9.78;6.66;9.11;7.84;8.07
6.7;35.98;475;48.74;90.5;1.3;0;352.15;-91.35;-1;-1;64.9;75.5;8;88;4.64;4640;4640;0;1;353;13.25;-1.5;-1;59;85;56;-0.35;5;10;55.72;63.66;56.94;28.31;28.29;39.91;36.88;13.01;-1.61;-1.45;2.42;6.05;7.65;9.81;6.67;9.12;7.83;8.07
6.8;36.44;475;48.06;88.47;1.23;0;352.3;-90.55;-1;-1;64.9;75.5;8;88;4.64;4640;4640;0;1;353.02;13.25;-1.5;-1;59;85;56;-0.36;5;10;55.72;63.67;56.95;28.34;28.32;39.93;36.9;13.04;-1.61;-1.44;2.41;6.06;7.65;9.81;6.68;9.12;7.82;8.08
6.9;36.86;475;46.71;87.24;1.21;0;352.6;-88.84;-1;-1;64.9;75.5;8;88;4.64;4640;4640;0;1;353.52;13.25;-1.5;-1.01;59;85;56;-0.37;5;10;55.73;63.68;56.95;28.37;28.34;39.94;36.93;13.07;-1.61;-1.43;2.4;6.05;7.67;9.79;6.69;9.13;7.83;8.08
7;37.3;475;45.12;81.74;1.1;0;353.25;-85.14;-1;-1;64.9;75.5;8;88;4.64;4640.4;4640;0;1;354.04;13.24;-1.5;-1.02;59;85;56;-0.37;5;10;55.74;63.68;56.96;28.39;28.36;39.95;36.97;13.1;-1.61;-1.42;2.39;6.03;7.69;9.76;6.71;9.14;7.85;8.08
7.1;37.66;475;43.38;75.74;1.04;0;354.2;-79.88;-1;-1;64.88;75.5;8;88;4.64;4650.4;4640;0;1;355.04;13.12;-1.5;-1.03;59;85;56;-0.38;5;10;55.75;63.68;56.97;28.42;28.38;39.96;37;13.12;-1.61;-1.41;2.38;6.01;7.7;9.74;6.73;9.15;7.86;8.08
7.2;38.04;475;41.44;68.2;0.89;0;355.8;-71.23;-1;-1;64.83;75.5;8;88;4.64;4660.4;4640;0;1;356.08;13;-1.5;-1.04;59;85;56;-0.36;5;10;55.76;63.68;56.98;28.44;28.39;39.97;37.04;13.15;-1.61;-1.4;2.37;5.99;7.72;9.71;6.75;9.16;7.88;8.08
7.3;38.33;475;40.85;56.7;0.67;0;357.5;-62.93;-1;-1;64.8;75.5;8;88;4.64;4670.4;4640;0;1;358.08;13;-1.5;-1.04;59;85;56;-0.33;5;10;55.77;63.68;56.99;28.47;28.41;39.98;37.07;13.18;-1.61;-1.39;2.37;5.98;7.74;9.68;6.76;9.17;7.9;8.08
7.4;38.61;475;40.85;46.34;0.44;0;359.4;-55.37;-1;-1;64.8;75.5;8;88;4.64;4679.6;4640;0;1;360.06;13;-1.5;-1.05;59;85;56;-0.31;5;10;55.78;63.68;57;28.5;28.43;39.99;37.11;13.2;-1.61;-1.38;2.36;5.96;7.76;9.66;6.78;9.18;7.92;8.08
7.5;38.74;475;40.85;38.87;0.32;0;361.01;-48.86;-1;-1;64.8;75.5;8;88;4.64;4669.61;4640;0;1;361.56;12.87;-1.5;-1.06;59;85;56;-0.29;5;10;55.79;63.68;57.01;28.52;28.45;40;37.14;13.23;-1.61;-1.38;2.35;5.94;7.77;9.63;6.8;9.19;7.93;8.08
