Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Ambient Temperature [°C];Requested Coolant Temperature [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];
6.2;0;571;0;0;0.14;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.1;1;30;85;26.7;39.84;
6.3;0;571;0;0;0.17;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.09;1;30;85;26.65;39.84;
6.4;0;571;0;0;0.19;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.09;1;30;85;26.6;39.84;
6.5;0;571;0;0;0.18;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.09;1;30;85;26.55;39.84;
6.6;0;571;0;0;0.19;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.09;1;30;85;26.5;39.84;
6.7;0;571;0;0;0.21;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.09;1;30;85;26.5;39.84;
6.8;0;571;0;0;0.19;0;391.5;-7.69;26;27;87;100;8;90;0;0;2.09;1;30;85;26.5;39.84;
6.9;0;571;0;0;0.17;0;391.5;-7.64;26;27;87;100;8;90;0;0;2.08;1;30;85;26.5;39.84;
7;0;571;0;0;0.15;0;391.5;-7.61;26;27;87;100;8;90;0;0;2.08;1;30;85;26.5;39.84;
7.1;0;571;0;0;0.16;0;391.5;-7.71;26;27;87;100;8;90;0;0;2.08;1;30;85;26.5;39.84;
7.2;0;571;0;0;0.18;0;391.5;-7.79;26;27;87;100;8;90;0;0;2.08;1;30;85;26.5;39.84;
7.3;0;571;0;0;0.18;0;391.5;-7.69;26;27;87;100;8;90;0;0;2.09;1;30;85;26.5;39.84;
7.4;0;571;0;0;0.18;0;391.5;-7.61;26;27;87;100;8;90;0;0;2.09;1;30;85;26.5;39.84;
7.5;0;571;0;0;0.18;0;391.5;-7.66;26;27;87;100;8;90;0;0;2.1;1;30;85;26.5;39.84;
7.6;0;571;0;0;0.21;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.1;1;30;85;26.5;39.84;
7.7;0;571;0;0;0.2;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.11;1;30;85;26.45;39.84;
7.8;0;571;0;0;0.16;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.11;1;30;85;26.4;39.84;
7.9;0;571;0;0;0.16;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.12;1;30;85;26.35;39.84;
8;0;571;0;0;0.16;0;391.5;-7.69;26;27;87;100;8;90;0;0;2.12;1;30;85;26.3;39.84;
8.1;0;571;0;0;0.16;0;391.5;-7.64;26;27;87;100;8;90;0;0;2.12;1;30;85;26.25;39.84;
8.2;0;571;0;0;0.18;0;391.5;-7.6;26;27;87;100;8;90;0;0;2.12;1;30;85;26.2;39.84;
8.3;0;571;0;0;0.17;0;391.5;-7.6;26;27;87;100;8;90;0;0;2.12;1;30;85;26.15;39.84;
8.4;0;571;0;0;0.15;0;391.5;-7.61;26;27;87;100;8;90;0;0;2.12;1;30;85;26.1;39.84;
8.5;0;571;0;0;0.17;0;391.5;-7.71;26;27;87;100;8;90;0;0;2.12;1;30;85;26.05;39.84;
8.6;0;571;0;0;0.18;0;391.5;-7.79;26;27;87;100;8;90;0;0;2.12;1;30;85;26;39.84;
8.7;0;571;0;0;0.17;0;391.5;-7.69;26;27;87;100;8;90;0;0;2.12;1;30;85;25.95;39.84;
8.8;0;571;0;0;0.17;0;391.5;-7.61;26;27;87;100;8;90;0;0;2.16;1;30;85;25.9;39.84;
8.9;0;571;0;0;0.16;0;391.5;-7.71;26;27;87;100;8;90;0;0;2.16;1;30;85;25.85;39.84;
9;0;571;0;0;0.19;0;391.5;-7.79;26;27;87;100;8;90;0;0;2.16;1;30;85;25.8;39.84;
9.1;0;571;0;0;0.2;0;391.5;-7.74;26;27;87;100;8;90;0;0;2.16;1;30;85;25.75;39.84;
9.2;0;571;0;0;0.16;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.16;1;30;85;25.7;39.84;
9.3;0;571;0;0;0.18;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.16;1;30;85;25.65;39.84;
9.4;0;571;0;0;0.21;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.16;1;30;85;25.6;39.84;
9.5;0;571;0;0;0.19;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.16;1;30;85;25.55;39.84;
9.6;0;571;0;0;0.17;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.12;1;30;85;25.5;39.84;
9.7;0;571;0;0;0.18;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.12;1;30;85;25.45;39.84;
9.8;0;571;0;0;0.18;0;391.5;-7.71;26;27;87;100;8;90;0;0;2.12;1;30;85;25.4;39.84;
9.9;0;571;0;0;0.16;0;391.5;-7.76;26;27;87;100;8;90;0;0;2.12;1;30;85;25.35;39.84;
10;0;571;0;0;0.17;0;391.5;-7.79;26;27;87;100;8;90;0;0;2.12;1;30;85;25.3;39.84;
10.1;0;571;0;0;0.17;0;391.5;-7.74;26;27;87;100;8;90;0;0;2.12;1;30;85;25.25;39.84;
10.2;0;571;0;0;0.17;0;391.5;-7.69;26;27;87;100;8;90;0;0;2.12;1;30;85;25.2;39.84;
10.3;0;571;0;0;0.19;0;391.5;-7.64;26;27;87;100;8;90;0;0;2.12;1;30;85;25.15;39.84;
10.4;0;571;0;0;0.19;0;391.5;-7.61;26;27;87;100;8;90;0;0;2.16;1;30;85;25.1;39.84;
10.5;0;571;0;0;0.19;0;391.5;-7.66;26;27;87;100;8;90;0;0;2.16;1;30;85;25.05;39.84;
10.6;0;571;0;0;0.18;0;391.5;-7.71;26;27;87;100;8;90;0;0;2.16;1;30;85;25;39.84;
10.7;0;571;0;0;0.17;0;391.5;-7.76;26;27;87;100;8;90;0;0;2.16;1;30;85;24.95;39.84;
10.8;0;571;0;0;0.17;0;391.5;-7.78;26;27;87;100;8;90;0;0;2.16;1;30;85;24.9;39.84;
10.9;0;571;0;0;0.18;0;391.5;-7.63;26;27;87;100;8;90;0;0;2.16;1;30;85;24.85;39.84;
11;0;571;0;0;0.2;0;391.5;-7.51;26;27;87;100;8;90;0;0;2.16;1;30;85;24.8;39.84;
11.1;0;571;0;0;0.21;0;391.5;-7.61;26;27;87;100;8;90;0;0;2.16;1;30;85;24.75;39.84;
11.2;0;571;0;0;0.19;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.12;1;30;85;24.7;39.84;
11.3;0;571;0;0;0.18;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.12;1;30;85;24.65;39.84;
11.4;0;571;0;0;0.19;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.12;1;30;85;24.6;39.84;
11.5;0;571;0;0;0.19;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.12;1;30;85;24.55;39.84;
11.6;0;571;0;0;0.19;0;391.5;-7.69;26;27;87;100;8;90;0;0;2.11;1;30;85;24.5;39.84;
11.7;0;571;0;0;0.16;0;391.5;-7.64;26;27;87;100;8;90;0;0;2.11;1;30;85;24.5;39.84;
11.8;0;571;0;0;0.18;0;391.5;-7.61;26;27;87;100;8;90;0;0;2.11;1;30;85;24.5;39.84;
11.9;0;571;0;0;0.22;0;391.5;-7.71;26;27;86.99;100;8;90;0;0;2.11;1;30;85;24.5;39.84;
12;0;571;0;0;0.18;0;391.5;-7.79;26;27;86.94;100;8;90;0;0;2.11;1;30;85;24.5;39.84;
12.1;0;571;0;0;0.17;0;391.5;-7.74;26;27;86.9;100;8;90;0;0;2.11;1;30;85;24.5;39.84;
12.2;0;571;0;0;0.21;0;391.5;-7.69;26;27;86.9;100;8;90;0;0;2.11;1;30;85;24.5;39.84;
12.3;0;571;0;0;0.19;0;391.5;-7.59;26;27;86.9;100;8;90;0;0;2.11;1;30;85;24.5;39.84;
12.4;0;571;0;0;0.18;0;391.5;-7.51;26;27;86.9;100;8;90;0;0;2.1;1;30;85;24.5;39.84;
12.5;0;571;0;0;0.2;0;391.5;-7.61;26;27;86.9;100;8;90;0;0;2.1;1;30;85;24.5;39.84;
12.6;0;571;0;0;0.19;0;391.5;-7.67;26;27;86.9;100;8;90;0;0;2.1;1;30;85;24.5;39.84;
12.7;0;571;0;0;0.2;0;391.5;-7.37;26;27;86.9;100;8;90;0;0;2.1;1;30;85;24.45;39.84;
12.8;0;571;0;0;0.19;0;391.5;-7.11;26;27;86.9;100;8;90;0;0;2.1;1;30;85;24.4;39.84;
12.9;0;571;0;0;0.18;0;391.5;-7.16;26;27;86.9;100;8;90;0;0;2.1;1;30;85;24.35;39.84;
13;0;571;0;0;0.17;0;391.5;-7.2;26;27;86.9;100;8;90;0;0;2.1;1;30;85;24.3;39.84;
13.1;0;571;0;0;0.14;0;391.5;-7.2;26;27;86.9;100;8;90;0;0;2.1;1;30;85;24.25;39.84;
13.2;0;571;0;0;0.16;0;391.5;-7.2;26;27;86.9;100;8;90;0;0;2.09;1;30;85;24.2;39.84;
13.3;0;571;0;0;0.19;0;391.5;-7.2;26;27;86.9;100;8;90;0;0;2.09;1;30;85;24.15;39.84;
13.4;0;571;0;0;0.19;0;391.5;-7.19;26;27;86.9;100;8;90;0;0;2.09;1;30;85;24.1;39.84;
13.5;0;571;0;0;0.18;0;391.5;-7.14;26;27;86.9;100;8;90;0;0;2.09;1;30;85;24.05;39.84;
13.6;0;571;0;0;0.19;0;391.5;-7.11;26;27;86.9;100;8;90;0;0;2.09;1;30;85;24;39.84;
13.7;0;571;0;0;0.19;0;391.5;-7.21;26;27;86.9;100;8;90;0;0;2.09;1;30;85;23.95;39.84;
13.8;0;571;0;0;0.15;0;391.5;-7.29;26;27;86.9;100;8;90;0;0;2.09;1;30;85;23.9;39.84;
13.9;0;571;0;0;0.17;0;391.5;-7.19;26;27;86.9;100;8;90;0;0;2.09;1;30;85;23.85;39.84;
14;0;571;0;0;0.18;0;391.5;-7.11;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.8;39.84;
14.1;0;571;0;0;0.16;0;391.5;-7.16;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.75;39.84;
14.2;0;571;0;0;0.16;0;391.5;-7.21;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.7;39.84;
14.3;0;571;0;0;0.16;0;391.5;-7.31;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.65;39.84;
14.4;0;571;0;0;0.16;0;391.5;-7.4;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.6;39.84;
14.5;0;571;0;0;0.17;0;391.5;-7.4;26;27;86.9;100;8;90;0;0;2.09;1;30;85;23.55;39.84;
14.6;0;571;0;0;0.15;0;391.5;-7.39;26;27;86.9;100;8;90;0;0;2.09;1;30;85;23.5;39.84;
14.7;0;571;0;0;0.15;0;391.5;-7.34;26;27;86.9;100;8;90;0;0;2.1;1;30;85;23.5;39.84;
14.8;0;571;0;0;0.19;0;391.5;-7.31;26;27;86.9;100;8;90;0;0;2.1;1;30;85;23.5;39.84;
14.9;0;571;0;0;0.15;0;391.5;-7.41;26;27;86.9;100;8;90;0;0;2.11;1;30;85;23.5;39.84;
15;0;571;0;0;0.08;0;391.49;-7.53;26;27;86.9;100;8;90;0;0;2.11;1;30;85;23.5;39.84;
15.1;0;571;9.82;1.02;0.09;0;391.44;-7.83;26;27;86.9;100;8;90;0;0;2.12;1;30;85;23.5;39.84;
15.2;0;571;11.7;4.49;0.16;0;391.4;-8.13;26;27;86.9;100;8;90;0;0;2.12;1;30;85;23.5;39.84;
15.3;0;571;22.56;8.01;0.21;0;391.4;-8.38;26;27;86.9;100;8;90;0;0;2.11;1;30;85;23.5;39.84;
15.4;0;571;30.62;18.53;0.43;0;391.38;-8.87;26;27;86.9;100;8;90;0;0;2.11;1;30;85;23.5;39.84;
15.5;0;571;30.17;48.65;0.98;0;391.23;-11.22;26;27;86.9;100;8;90;0;0;2.1;1;30;85;23.5;39.84;
15.6;0.03;571;28.13;90.56;1.45;0;391.09;-13.31;26;27;86.9;100;8;90;0;0;2.1;1;30;85;23.5;39.84;
15.7;0.36;571;23.95;97.47;1.47;0;391.04;-13.41;26;27;86.9;100;8;90;0;0;2.09;1;30;85;23.45;39.84;
15.8;0.55;571;23.47;88.97;1.34;0;391;-13.55;26;27;86.9;100;8;90;0;0;2.09;1;30;85;23.4;39.84;
15.9;1.45;571;21.92;86.98;1.25;0;391;-13.95;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.35;39.84;
16;1.89;571;20.55;81.99;1.11;0;391;-14.29;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.3;39.84;
16.1;2.32;571;20.37;76.97;1.03;0;391;-14.19;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.25;39.84;
16.2;2.66;571;18.05;71.48;1.02;0;391;-14.06;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.2;39.84;
16.3;2.96;571;15.87;66.48;0.91;0;391;-13.71;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.15;39.84;
16.4;3.24;571;13.7;57.49;0.79;0;391.01;-13.28;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.1;39.84;
16.5;3.44;571;13.55;48.47;0.62;0;391.11;-12.23;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23.05;39.84;
16.6;3.62;571;13.55;36.48;0.45;0;391.2;-11.24;26;27;86.9;100;8;90;0;0;2.08;1;30;85;23;39.84;
16.7;3.69;571;13.7;29.47;0.31;0;391.2;-10.69;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.95;39.84;
16.8;3.75;571;14.03;23.01;0.15;0;391.21;-10.15;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.9;39.84;
16.9;3.75;571;14.5;19.98;0.16;0;391.26;-9.76;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.85;39.84;
17;3.77;571;16.65;15.98;0.15;0;391.3;-9.38;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.8;39.84;
17.1;3.78;571;20.38;13.52;0.11;0;391.3;-9.23;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.75;39.84;
17.2;3.78;571;22.55;15;0.05;0;391.29;-9.18;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.7;39.84;
17.3;3.81;571;23.18;21.51;0.13;0;391.24;-9.93;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.65;39.84;
17.4;3.74;571;23.32;26.49;0.21;0;391.2;-10.65;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.6;39.84;
17.5;3.83;571;23.48;31.52;0.2;0;391.2;-11.05;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.55;39.84;
17.6;3.88;571;23.48;33.52;0.25;0;391.19;-11.42;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.5;39.84;
17.7;3.97;571;23.65;35.52;0.34;0;391.14;-11.62;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.45;39.84;
17.8;4.11;571;23.48;37.99;0.48;0;391.1;-11.82;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.4;39.84;
17.9;4.2;571;23.65;38.99;0.47;0;391.1;-12.02;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.35;39.84;
18;4.29;571;23.65;39.51;0.42;0;391.09;-12.23;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.3;39.84;
18.1;4.46;571;24.1;41;0.46;0;391.04;-12.48;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.25;39.84;
18.2;4.62;571;24.4;41;0.5;0;391;-12.71;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.2;39.84;
18.3;4.76;571;24.4;41.52;0.49;0;391;-12.81;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.15;39.84;
18.4;4.87;571;25.35;41.49;0.5;0;391;-12.93;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.1;39.84;
18.5;5.03;571;26.1;40.5;0.54;0;391;-13.23;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22.05;39.84;
18.6;5.19;571;25.98;41.02;0.55;0;391;-13.49;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
18.7;5.36;571;26.1;42.98;0.6;0;391;-13.44;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
18.8;5.5;571;26.28;41.49;0.65;0;391;-13.41;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
18.9;5.64;571;26.9;39.02;0.58;0;391;-13.46;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
19;5.77;571;26.75;38.99;0.56;0;391;-13.46;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
19.1;5.93;571;26.58;37.49;0.53;0;391;-13.11;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
19.2;6.09;571;26.43;34.5;0.52;0;391.01;-12.74;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
19.3;6.21;571;26.28;29.99;0.48;0;391.06;-12.19;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
19.4;6.25;571;26.43;25.49;0.3;0;391.11;-11.63;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
19.5;6.28;571;26.75;22.49;0.19;0;391.16;-11.03;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
19.6;6.33;571;26.75;18.01;0.2;0;391.2;-10.47;26;27;86.9;100;8;90;0;0;2.08;1;30;85;22;39.84;
19.7;6.38;571;26.9;16.5;0.22;0;391.2;-10.22;26;27;86.9;100;8;90;0;0;2.08;1;30;85;21.95;39.84;
19.8;6.4;571;26.9;15.5;0.14;0;391.2;-9.98;26;27;86.9;100;8;90;0;0;2.08;1;30;85;21.9;39.84;
19.9;6.39;571;26.9;13.01;0.07;0;391.2;-9.78;26;27;86.9;100;8;90;0;0;2.08;1;30;85;21.85;39.84;
20;6.38;571;27.53;11.5;0.12;0;391.21;-9.58;26;27;86.9;100;8;90;0;0;2.08;1;30;85;21.8;39.84;
20.1;6.35;571;28.75;13.97;0.14;0;391.26;-9.38;26;27;86.9;100;8;90;0;0;2.08;1;30;85;21.75;39.84;
20.2;6.31;571;30.3;10.01;0.09;0;391.29;-9.28;26;27;86.9;100;8;90;0;0;2.08;1;30;85;21.7;39.84;
20.3;6.32;571;30.63;13.53;0.07;0;391.24;-9.98;26;27;86.9;100;8;90;0;0;2.08;1;30;85;21.65;39.84;
20.4;6.34;571;30.93;20.51;0.18;0;391.19;-10.67;26;27;86.9;100;8;90;0;0;2.08;1;30;85;21.6;39.84;
20.5;6.34;571;30.93;23.01;0.3;0;391.14;-11.32;26;27;86.9;100;8;90;0;0;2.08;1;30;85;21.55;39.84;
20.6;6.41;571;30.93;26.99;0.34;0;391.09;-11.94;26;27;86.9;100;8;90;0;0;2.08;1;30;85;21.5;39.84;
20.7;6.47;571;30.93;30.01;0.36;0;391.04;-12.29;26;27;86.9;100;8;90;0;0;2.06;1;30;85;21.45;39.84;
20.8;6.58;571;30.93;31.01;0.42;0;391;-12.62;26;27;86.9;100;8;90;0;0;2.04;1;30;85;21.4;39.84;
20.9;6.68;571;30.93;31.51;0.45;0;391;-12.77;26;27;86.9;100;8;90;0;0;2.04;1;30;85;21.35;39.84;
21;6.81;571;30.93;32.01;0.45;0;391;-12.89;26;27;86.9;100;8;90;0;0;2.04;1;30;85;21.3;39.84;
